Question,Answer
"Здравствуйте. Скажите, пожалуйста, как проходят вступительные испытания при поступлении в магистратуру пед.обр. (английский язык)?","Добрый день! в форме тестирования по образовательной программе. Подробнее о тестировании можете прочитать здесь - https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/programmyi-vstupitel-nyih-ispyitaniy-po-magistersk-3.html"
"Подавать заявку можно на одно направление или несколько?","можно на несколько"
"Спасибо","пожалуйста!"
"Добрый день, хотелось бы узнать, когда подают заявление на заочное обучение?","Добрый день! С 20 июня 2020 года по 24 августа 2020 года."
"Дербенева Вероника Владимировна derbenyowa.veronicka@yandex.ru","Добрый день!  На Ваш электронный адрес отправлена ссылка на профориентационное тестирование - должно прийти письмо от сервиса HT-Line. Проверьте, пожалуйста, папку 'Входящие' и папку 'Спам'."
"На факультет социологии и социальной психологии нужна профильная математика?","Добрый день! да, нужна профильная математика."
"Здравствуйте.  Хотелось бы узнать, как принять участие в олимпиадах? По срокам проведения некоторые уже начались, но на сайте, к сожалению, нет никакой информации, либо я не могу ее найти","Добрый день! https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/predmetnyie-olimpiadyi-nauchnyie-i-tvorcheskie-kon-4 Есть контактная информация для каждой из олимпиад"
"Здравствуйте.  На момент подачи документов в июне мне будет ещё 17 лет. 18-ть исполнится в июле. Должна ли я явиться в приёмную комиссию вместе с родителями?","Добрый день! Если на момент подачи документов Вам не будет 18 лет, то необходимо присутствие одного из родителей, для подписания согласия на обработку Ваших персональных данных."
"Спасибо, Здравствуйте. Хотелось бы узнать, как можно получить диплом за дистанционную олимпиаду, проводимую вузом?","Добрый день. Вам нужно обратиться к организаторам олимпиады (кафедре/факультету). Контакты организаторов указаны рядом с каждой олимпиадой на официальном сайте ВятГУ."
"Здравствуйте. Будут ли изменения в работе приемной комиссии? Или эта информация станет известна после 30 апреля?","Добрый день. Возможно, сроки приёма будут сдвинуты, но пока точной информации нет. Следите за новостями в группе и на сайте ВятГУ."
"Здраствуйте! я хотела бы поступить у вас на заочное обучение,что для этого надо?","Добрый день. Уточните, пожалуйста, на какое направление Вы хотели бы поступить и какое у Вас сейчас имеется образование?"
"9 классов, куда можно поступить с 9 класами, я закончила в 2008 году так получилось,что не училась больше","После 9 класса можно поступить в колледж ВятГУ, однако только на очную форму, так как заочная форма возможна только после окончания 11 классов.  Здесь можно посмотреть подробную информацию о направлениях подготовки нашего колледжа https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/informatsiya-o-prieme-na-programmyi-spo-na-2020-21.html, Бюджетные места имеются на направлениях 'Физическая культура' и 'Информационные системы и программирование'"
"Северюхина Ксения Васильевна Эл.почта severyuhina.kssenia@yandex.ru","Добрый день! На Ваш электронный адрес отправлена ссылка на профориентационное тестирование - должно прийти письмо от сервиса HT-Line. Проверьте, пожалуйста, папку 'Входящие' и папку 'Спам'."
"Здравствуйте. Скажите пожалуйста, сколько стоит обучение по специальности экономика, экономическая безопасность и управление рисками?","Добрый день! Стоимость обучения на 2020/2021 учебный год будет установлена к началу приема документов (к 20 июня 2020 года) и будет опубликована на официальном сайте ВятГУ., Если Вас интересует стоимость обучения в прошлом учебном году, то уточните, пожалуйста, форму обучения (очная или заочная)."
"Давайте хотя бы за прошлый, заочная","40 000 рублей в год"
"Здравствуйте. Хочу пройти тест по профориентации.  Жданович Ульяна Олеговна ul.zhdanovich@gmail.com","Добрый день! На Ваш электронный адрес отправлена ссылка на профориентационное тестирование - должно прийти письмо от сервиса HT-Line. Проверьте, пожалуйста, папку 'Входящие' и папку 'Спам'."
"Здравствуйте, скажите пожалуйста сколько стоит обучение: Логопедия Физическая культура. Тренер Есть бюджет на заочной форме обучения?","Добрый день! На заочной форме обучения бюджетных мест, к сожалению, не выделено. Стоимость обучения будет установлена к началу приёма документов (к 20 июня 2020 года)"
"Скажите ещё пожалуйста сколько учиться? Логопедия и Тренер.","Полный срок обучения 5 лет"
"Спасибо, Можно ещё пожалуйста узнать какие вступительные экзамены нужно сдавать? Логопедия и Тренер.","Уточните, пожалуйста, какое у Вас образование на данный момент?"
"СПО","Тогда Вы можете поступать без ЕГЭ, по результатам внутривузовского тестирования. Для 'Специального (дефектологического) образования' необходимо сдать биологию, русский язык и собеседование https://www.vyatsu.ru/uploads/file/1910/vi_44.03.03_specialnoe_defektologicheskoe_obrazovanie_logopediya_dopolnennoe.pdf Для 'Физической культуры. Тренер' необходимы русский язык, биология и профессиональное вступительное испытание https://www.vyatsu.ru/uploads/file/1910/ofp.pdf"
"Спасибо, Здравствуйте, скажите пожалуйста на заочной форме обучения можно учиться по целевому обучению?","Добрый день! На заочной форме обучения, к сожалению, не выделено бюджетных мест, следовательно и целевого быть не может."
"Поняла, спасибо., Ещё вопрос есть., Скажите пожалуйста Педагогическое образование. Физическая культура и спорт это инструктор по физкультуре в детском саду или в школе?","В любой образовательной организации. Подробнее можно почитать здесь https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=ae3cf845d2745d0d165301c6e62b7ae553003971b23a119f32ac7fa842d038bd&profile_id=7950"
"А если Физическая культура. Тренер","В таком случае это больше спортивные школы и фитнес-клубы. Подробнее здесь https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=01e98398bfad0b80baff3e1c32fd8b0bd09b0127660e1bea1419830c2603510a&profile_id=8106"
"Спасибо, Скажите пожалуйста, а логопедия, Просто у вас на сайте не могу найти поиск образовательной программы","Информация о всех направлениях подготовки опубликована здесь (только нужно поставить соответствующие фильтры): https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi Конкретно по логопедии информацию можно найти здесь https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=a1d41f2c11969dbb261febf462875b5c34fb82c48c7f531290f9695790120dfb&profile_id=7955"
"Спасибо, Здравствуйте, скажите пожалуйста вступительные экзамены перенесли?","Добрый день. Возможно, будут некоторые переносы, но точной информации пока нет. Следите за новостями в группе и на сайте ВятГУ."
"Поняла, спасибо., Подскажите пожалуйста у Вас есть юриспруденция?","Да, есть."
"А где я могу посмотреть   всё о этой профессии?","Вас интересует очная или заочная форма?"
"Заочная., И ещё меня интересует менеджмент управление персоналом.","Юриспруденция. Гражданско-правовой профиль (очно-заочная форма) https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=3182d210a9feaaac9e40c15991e3dab3f7004a12e90fccb42e6de27caccd31f8&profile_id=8094 Юриспруденция. Уголовно-правовой профиль https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=f4ea714ef64489465ad93af2f1c987b3ebd7bfadf9bd73e986213c31163b1595&profile_id=8097 Управление персоналом https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=add37f231cbe325d9790c7c8c5407a90e1ae56bd5e985160029a0b58c864bd27&profile_id=8140 Менеджмент https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?oop_code=159a5b09421ff354f8f9ee232c05102374192a021d459bc34886d30edac2d88d&profile_id=8095"
"Спасибо., По специальности управление персоналом посте СПО сокращённый курс? (3 года и 3 месяца).","Да, всё верно"
"Юриспруденция 4 года и 8 месяцев?","Полный срок - да. Ускоренный срок на очно-заочной форме - 4 года"
"Здравствуйте, скажите пожалуйста какого числа будет заселение в общежитие и когда подавать заявление на заселение?","Добрый день. График заселения появится на сайте примерно в середине августа. Заявление на общежитие нужно подать в приёмную комиссию чем быстрее, тем лучше."
"А как можно подать заявление? Лично приехать или можно по почте?","Можно в электронном виде. Позвоните, пожалуйста, в приемную комиссию Вашего факультета и попросите выслать вам бланк заявления https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kontaktyi-otborochnyih-priemnyih-komissiy.html"
"Спасибо, Я поступила на прикладную информатику. Скажите пожалуйста в каком корпусе я буду учиться?","Добрый день. В основном, в корпусе №1 (Московская, 36) и корпусе №2 (Московская, 39)"
"Спасибо, Здравствуйте, скажите пожалуйста , где мне взять справку о том, что я учусь в ВятГУ?","ул. Карла Маркса, 77, каб.105"
"Спасибо, Здравствуйте, скажите пожалуйста, в каком размере я буду получать стипендию, если поступила на первый курс, школу закончила с медалью и получаю пенсию по потере кормильца?","Добрый день. Обо всех аспектах обучения Вам расскажут на собрании 2 сентября и в деканате Вашего факультета."
"Спасибо, Здравствуйте. Скажите пожалуйста как можно связаться с приёмной комиссией?","Добрый день. Все интересующие вопросы Вы можете задать здесь, так как приёмная комиссия пока не ведёт личный приём из-за эпидемиологической ситуации."
"Мне нужно узнать где сдавать ЕГЭ по английскому. Можно при вузе или нужно при школе. Хочу поступать на факультет лингвистики","Добрый день! На базе университета ЕГЭ не сдаётся. Обратитесь, пожалуйста, с данным вопросом в Центр оценки качества образования по телефону 71-44-01."
"Хорошо, спасибо","На всякий случай их электронная почта ege@ege.kirov.ru"
"Добрый день! Подала заявление в магистратуру, направление - специальное (дефектологическое) образование, психолого-педагогическое сопровождение лиц с ментальными и аутистическими расстройствами, заочно, бюджет. Заявление о согласии на зачисление пишется после вступительных или нужно раньше?","Добрый день! оно пишется и сразу же подается оригинал диплома. Наверное, лучше дождаться результатов тестов."
"Спасибо!, Добрый день! Сколько стоит заочное обучение с применением дистанционных образовательных технологий (магистратура)? Направление: техносферная безопасность. Безопасность технологических процессов и производств.","Добрый день! Стоимость обучения будет утверждена и опубликована ориентировочно к 20 июня."
"Добрый вечер. Подскажите пожалуйста, можно ли записаться на подготовительные курсы для поступающих на заочную форму на май месяц? Эта услуга платная или нет? Есть ли бюджетные места в заочном отделении на обучение по профилю «Управление персоналом организаций» и «Финансы и кредиты»? Возможно ли поступить на бюджет? У меня законченное среднее профессиональное образование по другому направлению. А также Красный аттестат и диплом. Заранее спасибо за ответ!  Заранее спасибо за ответ!","Добрый вечер. Записаться на подготовительные курсы Вы можете в группе https://vk.com/ct_243 На заочной форме обучение, к сожалению, только платное. Стоимость будет утверждена и опубликована ориентировочно к 20 июня."
"Спасибо большое!!!!, Добрый день. Подскажите пожалуйста. Хочу поступать на заочное обучение в этом году по вступительным испытаниям: математике, русскому языку и обществознанию . Какова последовательность моих действий? Нужно ли записываьтся на вступительные испытания? Когда начнутся и где об этом сообщат? Подача документов только с 20 июня, или можно раньше подать? Прочитал всю информацию на вашем сайте и в группах вк, но не понял четкую картину, что за чем необходимо делать. Поясните пожалуйста.","Добрый день! подавать документы с 20 июня можно. Даты вступительных испытаний опубликуем на сайте. Сначала подаете документы, потом проходите вступительные. Поступление и сдача экзаменов в этом году будет организована дистанционно."
"Спасибо!","обращайтесь!"
"Здравствуйте. Расскажите пожалуйста об оплате. Когда нужно будет оплатить первый семестр в случае зачисления на заочное обучение?","Добрый день! Оплата за первый семестр вносится в течение 5 календарных дней с даты заключения договора."
"Добрый вечер , я хочу поступить дистанционно на высшее образование в Ваш Вуз что для этого мне нужно сделать ?","Добрый вечер. Уточните, пожалуйста, какое у Вас сейчас имеется образование и на какое направление подготовки Вы хотите поступить?"
"У меня среднее профессиональное образование по профессии техник по ремонту авто, хочу по направлению государственное и муниципальное образование","В таком случае Вы сможете подать документы и сдать вступительное тестирование по математике, обществознанию и русскому языку в дистанционном формате через сайт ВятГУ.  Приём документов и тестирование начнётся ориентировочно с 20 июня и будет продолжаться примерно до 20 августа, если срок приёма на дистанционную форму не изменится. Следите за информацией в группе и на сайте."
"Здравствуйте! Мы проектная группа ФТИД, создающая пособие для адаптации первокурсников в городе Кирове. Сейчас наш проект на стадии разработки, и мы проводим опрос, чтобы выяснить текущую ситуацию и пожелания ребят.  Если можно, разместите, пожалуйста в группе наш опрос  https://forms.gle/9VSrL2YEMztuMNGV9 хотя бы на пару дней. Будем признательны!","Добрый день! Без проблем, напишите короткий пост (2-3 предложения) и мы опубликуем его на нашей стене."
"Привет, абитуриент!🖐  Мы - проектная группа студентов ВятГУ, которая работает над помощью первокурсникам с адаптацией в городе.  Пожалуйста, пройди небольшой опрос, помоги нам узнать твоё мнение!  👇👇👇 https://forms.gle/9VSrL2YEMztuMNGV9","сделано"
"Здравствуйте, подскажите у вас можно получить второе высшее техническое образование, направление технология машиностроения, сколько стоит обучение за год? И сколько всего учиться?, Будут ли какие то вступительные экзамены?, Второе высшее техническое наверное считается у вас магистратура?","Добрый день! Поступить Вы можете как на второе высшее образование (бакалавриат), так и на магистерскую программу. Для поступления на бакалавриат необходимо сдавать письменное тестирование: русский язык, математика, физика. Срок обучения 4 года 8 месяцев. Для поступления на магистерскую программу Вам необходимо будет сдавать письменное тестирование по машиностроению https://www.vyatsu.ru/uploads/file/1910/15.04.01_mashinostroenie._tehnologii_oborudovanie_i_avtomatizaciya_mashinostroitelnogo_proizvodstva.pdf Срок обучения 2 года 4 месяца. Стоимость обучения будет установлена и опубликована на официальном сайте ВятГУ к началу приема документов (к 20 июня 2020 года)."
"Здравствуйте, подскажите пожалуйста, какие есть направления в политехнический институт?","Добрый день. Направления Политехнического института (очная форма) можно посмотреть здесь: https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F&radio_on_found_type=%D0%A4%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82%D1%8B&on_site_fpodr%5B%5D=490&on_site_fpodr%5B%5D=431&on_site_fpodr%5B%5D=492"
"А расскажите пожалуйста немного подробнее об академическом рисунке?","Образец рисунка опубликован здесь https://www.vyatsu.ru/uploads/file/1605/obrazcy_risunkov.jpg Программу вступительного испытания можно посмотреть здесь https://www.vyatsu.ru/uploads/file/1910/dizayn_tho_i_dr.pdf"
"Спасибо большое!!, Подскажите пожалуйста, какие есть направления в институт гуманитарных и социальных наук?","https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F&radio_on_found_type=%D0%A4%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82%D1%8B&on_site_fpodr%5B%5D=443&on_site_fpodr%5B%5D=445&on_site_fpodr%5B%5D=444"
"Спасибо!), Здравствуйте! Подскажите пожалуйста, чтобы поступить на специальность «Технология художественной обработки материалов» требуется профильная или базовая математика?","Добрый день. Для данного направления необходима профильная математика"
"А для каких специальностей не требуется профильная математика?","Например, для 'Дизайна', 'Физической культуры' и некоторых других направлений. Вы можете посмотреть, какие требуются экзамены по каждому из наших направлений, вот здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/vstupitel-nyie-ispyitaniya-i-minimal-nyie-ballyi-p-3.html"
"Спасибо!, Скажите пожалуйста, когда будет день открытых дверей?","Добрый день! День открытых дверей состоится в мае, конкретная дата будет опубликована на официальном сайте ВятГУ и в нашей группе."
"Добрый день! Подскажите, пожалуйста, как я могу узнать о количестве вакантных мест для перевода?  Заранее спасибо за ответ!","Добрый день! Количество вакантных мест опубликовано на официальном сайте ВятГУ здесь https://www.vyatsu.ru/studentu-1/chislennost-obuchayuschihsya-i-svedeniya-o-koliche.html Все вопросы, касающиеся перевода, можно задать деканату конкретного факультета. Вся контактная информация здесь https://www.vyatsu.ru/contacts  Также подробная информация о всех институтах и факультетах ВятГУ опубликована здесь https://www.vyatsu.ru/studentu-1/nauka-i-praktika.html"
"Здравствуйте. Можно узнать подробнее о стоимости обучения на филологическом факультете. Хочу учится просто для себя. (высшее уже есть в сфере культуры)  Или может быть есть подобные курсы.","Добрый день! Стоимость обучения будет установлена к началу приема документов ( 20 июня 2020 года) и опубликована на официальном сайте ВятГУ. По поводу курсов дополнительного образования можно обратиться по телефону 74-28-61"
"Добрый день. Решила учавствовать в конкурсе «Моё призвание-педагог дошкольного образования», но на данный момент являюсь несовершеннолетней. В положении о проведении конкурса прочитала, что в таком случае нужен родитель, но не поняла, что он должен заполнить. Подскажите, пожалуйста.","Добрый день! С данным вопросом Вам необходимо обратиться к организаторам данного конкурса 8 (8332) 742-596, kaf_pmdno@vyatsu.ru"
"Добрый день! Хочу к вам поступить на бакалавриата , факультет «педагогика» на дистанционную форму обучения  У меня СПО « математика и информатика» + диплом о переподготовки на учителя.  В данный момент я работаю официально педагогом.  У меня к вам вопросы  1. Как проходят гос экзамены, защита диплома  2. Нужно ли мне проходить практику, если я работаю уже учителем  3. На сколько максимум я смогу сократить срок обучения  4. Почитала отзывы о вашем вузе. Многие пишут, что сдают дисциплины в срок, но вовремя сессии появляются новые, неожиданные дисциплины. Скажите пожалуйста, что делать в этом случае, если это произойдёт","Добрый день! Ваши вопросы касаются конкретно процесса обучения, поэтому лучше их задать в данную группу https://vk.com/dokirov либо по телефону 74-29-90"
"Можно подробнее узнать о политехническом институте?","Добрый день. Что именно Вы хотели бы узнать?"
"О Политехническом институте:факльтеты,бюджетные места,общежитие","В Политехническом институте 3 факультета с большим количеством направлений подготовки . Подробнее о направлениях подготовки данного института можно узнать здесь https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F&radio_on_found_type=%D0%A4%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82%D1%8B&on_site_fpodr%5B%5D=490&on_site_fpodr%5B%5D=431&on_site_fpodr%5B%5D=492 Общежитие для очников предоставляется."
"Расскажите,пожалуйста,о строительном факультете","Какое направление подготовки Вас интересует и очная или заочная форма обучения?"
"Промышленное и гражданское строительство;техносферная безопасность Очная форма обучения","Необходимые ЕГЭ: русский язык, математика (профильный уровень), физика. Бюджетных мест на 'Строительстве' 75, на 'Техносферной безопасности' 28. Общежитие предоставляется всем желающим, поступившим на очную форму обучения."
"Какой проходной балл на эти направления?","Проходной балл формируется по последнему зачисленному на бюджетное место, следовательно, каждый год он разный и заранее мы его не знаем."
"Общежитие далеко от места обучения?","Нет, в шаговой доступности."
"День открытых дверей,который должен состояться 28 марта,перенесен?","Да, всё верно, на май."
"А какого числа еще неизвестно?","Пока нет. Информация появится позднее, поэтому следите за новостями в группе."
"Здравствуйте. Выпускница школы 2020 года планирует поступать в Вятский государственный университет на факультет дефектологии (логопед). Будут ли учтены при подаче заявления следующие достижения? Если да, то какое количество баллов они дают? Спасибо, , ","Добрый день! К сожалению, данные дипломы при поступлении в наш вуз учитываться не будут, так как они за 8,9 классы."
"Спасибо. Учитываются за 10 и 11 классы? Или только 11 класс?","Смотря какая олимпиада, в основном за 10 и 11 классы."
"Мой сын поступил в вятский колледж с платным обучением. И ему нужно общежитие .Дадут место в общежитии или нет","Добрый день. Если он поступил в колледж ВятГУ, то можно обратиться по данному вопросу в приёмную комиссию колледжа по тел. 8(8332)74-26-74"
"Колледж закрыт на карантин ? Если да , то когда на учёбу?","Добрый день! Данные вопросы необходимо задать дирекции Колледжа ВятГУ по телефону 8(8332)74-26-74"
"Здравствуйте, а то в каком порядке указаны направления имеет значение при согласии на зачисление?, нужно ли менять приоритетное направление,если на нём не проходишь,а на следующем проходишь на бюджет?","Добрый день! Порядок направлений подготовки в заявлении роли не играет. Главное - это то, куда у Вас написано согласие на зачисление."
"спасибо:), Добрый день,планирую поступать на заочку правоохран деятельность Экзамены с 11 класса только русский и обществознание  Возможно ли сдать историю как вступительное?","Добрый день. Какое у Вас имеется образование на данный момент?"
"11 классов","В таком случае поступление возможно только по ЕГЭ. Сдавать в вузе вступительное тестирование по общеобразовательным предметам могут только лица с инвалидностью, либо лица, имеющие профессиональное образование, либо иностранные граждане."
"А если поступить на направление по предметам какие имеются и перевестись сразу же?, ЕГЭ математика профиль,русский,общество, Также могу сдать вступительное по физической культуре","Да, это возможно. Вы можете поступить, к примеру, на 'Экономику' или другое направление, где подходят Ваши ЕГЭ (ЕГЭ должны быть сданы не ранее 2016 года), а затем перевестись на 'Правоохранительную деятельность'."
"И первая сессия сразу будет по правоохранительной деятельности?","Точную информацию Вам предоставят в приёмной комиссии, когда будете подавать документы."
"Здравствуйте, 28.03.2020 должен быть день открытых дверей, отменят ли его из-за вируса?","Добрый день. Точная информация будет опубликована немного позднее - следите за новостями в группе."
"Добрый вечер  А что нужно для поступления на факультет физкультуры и спорта?","Добрый день. Уточните, пожалуйста, какая форма обучения Вас интересует и какое образование у Вас имеется на данный момент?"
"Меня интересует очная форма обучения Сейчас имеется: средне специальное","В таком случае документы можно подать с 20 июня до 11 июля. С 13 по 17 июля будут вступительные испытания. На направление 'Пед.образование. Физическая культура' - обществознание, русский язык и профессиональное испытание (общая физическая подготовка); на направление 'Физическая культура' и 'Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)' - биология, русский язык и профессиональное вступительное испытание (общая физическая подготовка)."
"Я учусь в технологическом колледже, у нас нету егэ. Зависит ли от этого поступление?","Если у Вас будет среднее специальное образование, то ЕГЭ Вам сдавать не нужно, Вы можете сдать письменное тестирование в вузе."
"Добрый день, будут ли бюджетные места специальности  физическая культура (любое направление) в 28 020 году ?и бывают ли бюджетные места на заочное ?, 2020году*","Добрый день. В 2020 году на заочной форме бюджетных мест, к сожалению, не выделено. Раньше выделялись бюджетные места на некоторые направления заочной формы, однако сейчас тенденция такова, что бюджетные места выделяются на очной форме. Как будет в последующий годах, мы пока не знаем"
"Добрый день! Есть ли запись трансляции Дня открытых дверей с сегодняшнего дня (3 дек.)? не смогли приехать, и возможно ли сдать у вас в ВУЗе ЕГЭ после окончания 11ти классов? в школе написано заявление на егэ только по русскому и математике(базовый уровень), а надо еще обществознание и математика профиль","Добрый день! Записи, к сожалению, нет, но если у Вас возникли какие-либо вопросы, мы с радостью ответим. На ЕГЭ в университете записаться нельзя. А в школе Вы имеете право изменить предметы на ЕГЭ до 1 февраля."
"Спасибо, нас интересует направление начальное образование,  английский язык.  Какой конкурс на это направление?  Есть ли бюджетные места?  И сколько был минимальный балл для поступления в этом году?","В 2018 году на данном направлении подготовки будет 25 бюджетных мест. Конкурс в 2017 году 4,92 человека на место. Проходной балл в 2017 году 216 (это балл последнего зачисленного на бюджетное место)."
"Спасибо, А сколько стоит обучение в год на это направление?","Стоимость обучения устанавливается к началу приема документов ( к 20 июня) и публикуется на официальном сайте ВятГУ"
"А на этот год сколько была?","92025 рублей в год"
"спасибо, Добрый день! Есть ли у вас курсы по программированию на python? или курсы по аналитике данных. У меня высшее экономическое образование, нужны дополнительные курсы.","Добрый день. По данному вопросу Вы можете обратиться в отдел дополнительного образования ВятГУ. Тел.: 8(8332)37-48-96"
"Здравствуйте. Подскажите пожалуйста, в магистратуру в этом году нет бюджетных мест? Смотрю все специальности только по договорам об оказании платных ОУ., Интересует заочная форма. Спасибо., Очень приятно было пообщаться 😄. Ответили на все вопросы!","Добрый день. Извините за поздний ответ. В магистратуре по заочной форме в 2020 году бюджетных мест, к сожалению, не выделено."
"Здравствуйте скажите пожалуйста вчера сдавали вступительные испытания когда и где можно узнать результаты., После подачи заявлений  где и через сколько можно уже увидеть себя в списках поступающих","Добрый день. Имя абитуриента появляется на сайте либо через сутки, либо позднее - в зависимости от прохождения проверки. Результаты вступительных испытаний можно будет либо посмотреть на официальном сайте в списках поступающих, либо узнать в приёмной комиссии факультета, куда поступаете. Телефоны для связи здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kontaktyi-otborochnyih-priemnyih-komissiy.html"
